epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,1429.88,1.08049,1.38926,0.95257,0.98777,0.59493,0.71409,0.67854,0.52568,0.5954,0.71556,0.67959,0.52407,1.0092,1.22629,0.91568,1.00133,0.008086,0.008086,0.008086
60,1453.57,1.10173,1.43527,0.95467,0.98986,0.52589,0.6872,0.68067,0.52576,0.52392,0.68473,0.67967,0.51981,1.01285,1.22376,1.01018,1.00903,0.008053,0.008053,0.008053
61,1477.23,1.08336,1.38284,0.97353,0.99133,0.59143,0.71903,0.67752,0.53935,0.58986,0.71751,0.6753,0.51933,0.96796,1.23676,0.90918,0.99012,0.00802,0.00802,0.00802
62,1501.63,1.09069,1.39265,0.94939,0.99142,0.6434,0.6869,0.69181,0.54421,0.64237,0.68601,0.68963,0.53132,0.98483,1.22525,0.89351,1.00101,0.007987,0.007987,0.007987
63,1525.08,1.08709,1.37732,0.95082,0.98688,0.62673,0.71121,0.68835,0.54227,0.62377,0.7077,0.68652,0.52514,1.00475,1.2102,0.8977,0.99939,0.007954,0.007954,0.007954
64,1548.56,1.07839,1.39546,0.94763,0.98627,0.58844,0.70058,0.67923,0.54283,0.58821,0.6991,0.67983,0.52553,0.98492,1.21228,0.8942,0.99456,0.007921,0.007921,0.007921
65,1572.09,1.06871,1.38731,0.94805,0.98543,0.57296,0.65854,0.67404,0.53034,0.5735,0.65897,0.67301,0.51535,0.98991,1.19069,0.89463,0.993,0.007888,0.007888,0.007888
66,1595.71,1.09726,1.3909,0.96653,0.98725,0.63524,0.66439,0.6804,0.53707,0.63621,0.66576,0.68131,0.52816,0.98157,1.19819,0.90909,0.99714,0.007855,0.007855,0.007855
67,1619.2,1.06939,1.38814,0.93801,0.97761,0.54484,0.73796,0.70692,0.55361,0.54294,0.73544,0.70635,0.54725,0.97725,1.20816,0.87367,0.99621,0.007822,0.007822,0.007822
68,1642.78,1.09381,1.40584,0.9656,0.99296,0.83863,0.57056,0.67384,0.53481,0.8369,0.56931,0.67324,0.51593,0.98658,1.21443,0.89725,0.99733,0.007789,0.007789,0.007789
69,1666.38,1.07059,1.36832,0.95002,0.98439,0.55312,0.69977,0.66865,0.53016,0.55246,0.70185,0.67019,0.51818,0.98002,1.21441,0.89151,0.99271,0.007756,0.007756,0.007756
70,1689.95,1.09057,1.4096,0.95556,0.98472,0.64898,0.72174,0.68803,0.54931,0.64853,0.7195,0.68873,0.52373,0.96518,1.20724,0.86895,0.98289,0.007723,0.007723,0.007723
71,1713.7,1.07661,1.40837,0.94859,0.98567,0.60263,0.7138,0.68438,0.54779,0.6079,0.71346,0.68501,0.5282,1.00093,1.21325,0.86237,0.99532,0.00769,0.00769,0.00769
72,1737.18,1.08515,1.38369,0.93241,0.9854,0.62335,0.72549,0.68588,0.53893,0.6216,0.72352,0.68391,0.51765,0.98568,1.19107,0.89118,0.98994,0.007657,0.007657,0.007657
73,1760.97,1.08942,1.42039,0.93953,0.99022,0.58866,0.69276,0.68203,0.54138,0.5854,0.6906,0.68132,0.52036,0.97958,1.17198,0.89159,0.99543,0.007624,0.007624,0.007624
