epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1642.84,1.11541,1.41364,0.98038,1.00366,0.58238,0.72358,0.67721,0.52318,0.58728,0.72086,0.67594,0.51151,1.03971,1.26368,0.93409,1.03036,0.008581,0.008581,0.008581
45,1681.57,1.10064,1.40308,0.97878,1.00232,0.59741,0.68621,0.67084,0.51607,0.59665,0.68106,0.66957,0.50396,1.03342,1.23053,0.92992,1.02199,0.008548,0.008548,0.008548
46,1721.38,1.09614,1.37955,0.96854,0.99841,0.62623,0.67313,0.68623,0.52716,0.62459,0.66911,0.68029,0.51675,1.02717,1.23924,0.9272,1.02159,0.008515,0.008515,0.008515
47,1762.72,1.0842,1.39445,0.97126,0.99432,0.78779,0.60463,0.67693,0.52614,0.7908,0.60071,0.67714,0.51325,1.02734,1.23898,0.94179,1.02112,0.008482,0.008482,0.008482
48,1802.82,1.09756,1.41339,0.96969,0.99704,0.55168,0.74515,0.67616,0.53301,0.55378,0.73325,0.66967,0.508,0.99713,1.21186,0.90207,1.00692,0.008449,0.008449,0.008449
49,1843.97,1.09552,1.40547,0.95412,0.99825,0.55821,0.63077,0.66611,0.50818,0.55364,0.62719,0.66269,0.50943,1.00231,1.21429,0.91504,1.00978,0.008416,0.008416,0.008416
50,1883.36,1.10197,1.42083,0.95698,0.99066,0.54273,0.65527,0.65757,0.51734,0.54246,0.65401,0.65749,0.50121,1.00099,1.20402,0.94157,1.0169,0.008383,0.008383,0.008383
51,1921,1.07825,1.38665,0.94579,0.99354,0.55269,0.71498,0.6621,0.50919,0.54785,0.70904,0.66029,0.50593,1.01971,1.23297,0.90996,1.01229,0.00835,0.00835,0.00835
52,1957.24,1.08677,1.4211,0.95219,0.99428,0.805,0.60692,0.68113,0.52763,0.8068,0.60577,0.67867,0.51888,1.0075,1.2051,0.91272,1.00771,0.008317,0.008317,0.008317
53,1995.34,1.07429,1.37529,0.95169,0.98986,0.55242,0.66861,0.63276,0.48595,0.58039,0.64445,0.63571,0.47855,0.99498,1.22271,0.94954,1.00852,0.008284,0.008284,0.008284
54,2032.08,1.09191,1.40237,0.956,0.99626,0.81051,0.61616,0.67897,0.5267,0.80671,0.61325,0.675,0.52131,1.02105,1.24001,0.90587,1.01554,0.008251,0.008251,0.008251
55,2069.13,1.0933,1.40227,0.96505,1.00013,0.54936,0.7397,0.67035,0.52508,0.54774,0.73764,0.67094,0.51507,0.99099,1.21138,0.90709,1.00832,0.008218,0.008218,0.008218
56,2105.04,1.07549,1.38464,0.95562,0.98963,0.6187,0.6668,0.67464,0.51361,0.61673,0.66984,0.67432,0.51325,1.01069,1.20697,0.92177,1.01127,0.008185,0.008185,0.008185
57,2141.96,1.09554,1.40975,0.9487,0.99671,0.80571,0.61412,0.66534,0.52038,0.80654,0.61223,0.66243,0.49934,1.0093,1.23024,0.91741,1.01871,0.008152,0.008152,0.008152
58,2179.03,1.09506,1.43387,0.95323,0.99662,0.79843,0.60916,0.6761,0.51362,0.79444,0.60861,0.675,0.50789,0.99298,1.20525,0.88572,1.00671,0.008119,0.008119,0.008119
59,2215.8,1.06693,1.37472,0.93995,0.99014,0.52515,0.71728,0.66499,0.52095,0.52378,0.71481,0.66665,0.50439,0.99437,1.22017,0.90347,1.00516,0.008086,0.008086,0.008086
60,2252.18,1.08778,1.4237,0.94389,0.99064,0.549,0.70552,0.67672,0.53293,0.54637,0.69455,0.67292,0.52043,0.98767,1.2185,0.86973,0.99988,0.008053,0.008053,0.008053
61,2288.61,1.07226,1.38085,0.9612,0.99229,0.54774,0.73779,0.6717,0.51879,0.54425,0.73303,0.6696,0.51641,0.98268,1.22117,0.9101,1.00317,0.00802,0.00802,0.00802
62,2325.22,1.07657,1.39503,0.9392,0.99089,0.59041,0.75171,0.67686,0.52746,0.58839,0.75006,0.67636,0.52116,1.02111,1.22335,0.91815,1.01799,0.007987,0.007987,0.007987
63,2362.24,1.08171,1.37063,0.94205,0.99142,0.60227,0.61707,0.67942,0.5286,0.59794,0.60953,0.67577,0.51,1.00697,1.21363,0.90921,1.01014,0.007954,0.007954,0.007954
