epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,5640.05,1.06104,1.39866,0.91514,1.01059,0.57658,0.68404,0.6826,0.5414,0.5735,0.68072,0.67803,0.52056,0.95754,1.18266,0.86965,1.01498,0.007624,0.007624,0.007624
74,5719.31,1.03918,1.3529,0.9089,0.9934,0.60015,0.73219,0.68889,0.5528,0.60024,0.72984,0.68792,0.51513,0.95794,1.22169,0.88905,1.00427,0.007591,0.007591,0.007591
75,5794.71,1.05282,1.37689,0.92179,1.00677,0.62817,0.73747,0.7019,0.55278,0.62672,0.73527,0.69971,0.52473,0.93029,1.20795,0.85117,1.00128,0.007558,0.007558,0.007558
76,5876.9,1.03655,1.34614,0.91176,0.99614,0.59371,0.72973,0.69654,0.55352,0.59186,0.72724,0.69448,0.52457,0.97408,1.19805,0.89935,1.01942,0.007525,0.007525,0.007525
77,5956.83,1.01705,1.33276,0.90452,0.99362,0.60343,0.73035,0.69916,0.5562,0.58374,0.72878,0.69765,0.53042,0.95646,1.19397,0.8407,1.01243,0.007492,0.007492,0.007492
78,6030.64,1.0414,1.37024,0.91996,0.99999,0.70209,0.69802,0.70204,0.56387,0.69855,0.69433,0.69832,0.5329,0.96682,1.22811,0.8707,1.01448,0.007459,0.007459,0.007459
79,6104.97,1.0256,1.38159,0.90768,1.00195,0.57178,0.7324,0.69227,0.55594,0.57071,0.73387,0.69241,0.5331,0.9441,1.19122,0.87157,1.00929,0.007426,0.007426,0.007426
80,6184.31,1.01836,1.34921,0.88805,0.99813,0.62402,0.67716,0.6925,0.56036,0.62268,0.6754,0.69338,0.52499,0.9431,1.19749,0.84751,0.99481,0.007393,0.007393,0.007393
81,6257.85,1.03641,1.36653,0.91098,0.9986,0.58982,0.71464,0.70084,0.56372,0.58754,0.71194,0.69944,0.53565,0.95981,1.18671,0.86385,1.00861,0.00736,0.00736,0.00736
82,6338.38,1.04813,1.38083,0.89883,1.00324,0.65948,0.71736,0.7048,0.5614,0.65842,0.71624,0.703,0.52737,0.96135,1.21028,0.84798,1.01188,0.007327,0.007327,0.007327
83,6420.76,1.03508,1.3476,0.90224,1.00181,0.57162,0.7145,0.7001,0.56189,0.57139,0.71312,0.70001,0.53287,0.9544,1.17394,0.85224,1.00506,0.007294,0.007294,0.007294
84,6497.94,1.02107,1.35737,0.89503,0.9954,0.61653,0.71582,0.69015,0.55763,0.61377,0.71231,0.68815,0.52774,0.95653,1.19037,0.84439,1.01278,0.007261,0.007261,0.007261
85,6576.48,1.04755,1.37939,0.90614,0.99616,0.64037,0.7002,0.70297,0.56908,0.64005,0.70053,0.70312,0.5408,0.94156,1.17697,0.83146,0.99479,0.007228,0.007228,0.007228
86,6658.74,1.02377,1.36866,0.91086,0.98797,0.82661,0.63643,0.70766,0.57005,0.82712,0.62892,0.70602,0.53349,0.94647,1.16969,0.83825,1.00559,0.007195,0.007195,0.007195
87,6740.88,1.02914,1.3625,0.89401,0.99585,0.59013,0.72482,0.69695,0.56169,0.5855,0.71889,0.69151,0.53285,0.92921,1.1753,0.83383,0.9973,0.007162,0.007162,0.007162
88,6820.42,1.0184,1.33568,0.8986,0.99031,0.70237,0.66221,0.69222,0.55793,0.70212,0.66126,0.69339,0.53059,0.94443,1.17679,0.83531,0.99992,0.007129,0.007129,0.007129
89,6900.28,1.01705,1.34302,0.89863,0.99249,0.58766,0.73353,0.69738,0.56255,0.5866,0.73189,0.69594,0.5291,0.94577,1.20774,0.83103,1.00857,0.007096,0.007096,0.007096
90,6975.58,1.02816,1.34323,0.90018,0.99233,0.67751,0.67185,0.69627,0.56098,0.67256,0.66859,0.69416,0.52947,0.93667,1.19317,0.83427,1.00654,0.007063,0.007063,0.007063
91,7054.85,1.02347,1.36135,0.89784,0.98831,0.69475,0.68556,0.71298,0.57162,0.6937,0.68351,0.71069,0.53362,0.94201,1.17599,0.82503,1.00057,0.00703,0.00703,0.00703
